Year,Sex,Age_band,Population
1972,Persons,60-64,293525
1972,Persons,65-69,250919
1972,Persons,70-74,185451
1972,Persons,75-79,118509
1972,Persons,80+,105697
1973,Persons,0-4,413796
1973,Persons,10-14,455066
1973,Persons,15-19,408251
1973,Persons,20-24,366974
1973,Persons,25-29,351443
1973,Persons,30-34,299968
1973,Persons,35-39,297083
1973,Persons,40-44,304693
1973,Persons,45-49,311551
1973,Persons,5-9,461734
1973,Persons,50-54,317659
1973,Persons,55-59,280924
1973,Persons,60-64,292297
1973,Persons,65-69,253385
1973,Persons,70-74,191501
1973,Persons,75-79,120219
1973,Persons,80+,107356
1974,Persons,0-4,394797
1974,Persons,10-14,461284
1974,Persons,15-19,416867
1974,Persons,20-24,368707
1974,Persons,25-29,361558
1974,Persons,30-34,305171
1974,Persons,35-39,298175
1974,Persons,40-44,301047
1974,Persons,45-49,308434
1974,Persons,5-9,454892
1974,Persons,50-54,327594
1974,Persons,55-59,267177
1974,Persons,60-64,290487
1974,Persons,65-69,256657
1974,Persons,70-74,196013
1974,Persons,75-79,123167
1974,Persons,80+,108773
1975,Persons,0-4,375733
1975,Persons,10-14,466537
1975,Persons,15-19,423991
1975,Persons,20-24,367781
1975,Persons,25-29,370052
1975,Persons,30-34,307583
1975,Persons,35-39,297973
1975,Persons,40-44,297162
1975,Persons,45-49,306663
1975,Persons,5-9,444300
1975,Persons,50-54,316354
1975,Persons,55-59,274180
1975,Persons,60-64,289109
1975,Persons,65-69,257848
1975,Persons,70-74,199173
1975,Persons,75-79,127275
1975,Persons,80+,110686
1976,Persons,0-4,357452
1976,Persons,10-14,466142
1976,Persons,15-19,432147
1976,Persons,20-24,374058
1976,Persons,25-29,377566
1976,Persons,30-34,314515
1976,Persons,35-39,296014
1976,Persons,40-44,295013
1976,Persons,45-49,303821
1976,Persons,5-9,437750
1976,Persons,50-54,310761
1976,Persons,55-59,282458
1976,Persons,60-64,281734
1976,Persons,65-69,258052
1976,Persons,70-74,201959
1976,Persons,75-79,131453
1976,Persons,80+,112505
1977,Persons,0-4,337642
1977,Persons,10-14,464920
1977,Persons,15-19,440902
1977,Persons,20-24,382707
1977,Persons,25-29,362986
1977,Persons,30-34,338189
1977,Persons,35-39,296068
1977,Persons,40-44,293552
1977,Persons,45-49,302204
1977,Persons,5-9,425076
1977,Persons,50-54,304958
1977,Persons,55-59,292027
1977,Persons,60-64,272372
1977,Persons,65-69,257732
1977,Persons,70-74,204305
1977,Persons,75-79,135097
1977,Persons,80+,115463
1978,Persons,0-4,324175
1978,Persons,10-14,460161
1978,Persons,15-19,447326
1978,Persons,20-24,390538
1978,Persons,25-29,356411
1978,Persons,30-34,350009
1978,Persons,35-39,298695
1978,Persons,40-44,294472
1978,Persons,45-49,299095
1978,Persons,5-9,408212
1978,Persons,50-54,302023
1978,Persons,55-59,301695
1978,Persons,60-64,258399
1978,Persons,65-69,256616
1978,Persons,70-74,206813
1978,Persons,75-79,139615
1978,Persons,80+,118045
1979,Persons,0-4,319027
1979,Persons,10-14,453076
1979,Persons,15-19,453777
1979,Persons,20-24,398825
1979,Persons,25-29,353838
1979,Persons,30-34,357794
1979,Persons,35-39,302998
1979,Persons,40-44,295574
1979,Persons,45-49,295920
1979,Persons,5-9,387800
1979,Persons,50-54,299013
1979,Persons,55-59,310838
1979,Persons,60-64,245895
1979,Persons,65-69,255162
1979,Persons,70-74,209436
1979,Persons,75-79,143405
1979,Persons,80+,121222
1980,Persons,0-4,317521
1980,Persons,10-14,441027
