Year,Sex,Age_band,Population
2019,Persons,45-49,364350
2019,Persons,5-9,294567
2019,Persons,50-54,406691
2019,Persons,55-59,397245
2019,Persons,60-64,349158
2019,Persons,65-69,302534
2019,Persons,70-74,280296
2019,Persons,75-79,196605
2019,Persons,80+,268148
2020,Persons,0-4,259955
2020,Persons,10-14,296863
2020,Persons,15-19,294922
2020,Persons,20-24,336509
2020,Persons,25-29,344694
2020,Persons,30-34,349836
2020,Persons,35-39,344447
2020,Persons,40-44,321106
2020,Persons,45-49,351745
2020,Persons,5-9,291047
2020,Persons,50-54,399507
2020,Persons,55-59,403837
2020,Persons,60-64,357608
2020,Persons,65-69,304758
2020,Persons,70-74,287594
2020,Persons,75-79,199088
2020,Persons,80+,269584
2021,Persons,0-4,252051
2021,Persons,10-14,300846
2021,Persons,15-19,294960
2021,Persons,20-24,335466
2021,Persons,25-29,336603
2021,Persons,30-34,352856
2021,Persons,35-39,344889
2021,Persons,40-44,326977
2021,Persons,45-49,338626
2021,Persons,5-9,287726
2021,Persons,50-54,395711
2021,Persons,55-59,406842
2021,Persons,60-64,365233
2021,Persons,65-69,310117
2021,Persons,70-74,292392
2021,Persons,75-79,205670
2021,Persons,80+,271435
2022,Persons,0-4,247737
2022,Persons,10-14,303266
2022,Persons,15-19,298467
2022,Persons,20-24,341371
2022,Persons,25-29,337679
2022,Persons,30-34,357840
2022,Persons,35-39,348532
2022,Persons,40-44,336578
2022,Persons,45-49,326504
2022,Persons,5-9,281912
2022,Persons,50-54,388254
2022,Persons,55-59,408491
2022,Persons,60-64,373674
2022,Persons,65-69,317469
2022,Persons,70-74,282016
2022,Persons,75-79,223481
2022,Persons,80+,274429
2023,Persons,0-4,247268
2023,Persons,10-14,305065
2023,Persons,15-19,301002
2023,Persons,20-24,347215
2023,Persons,25-29,343249
2023,Persons,30-34,360990
2023,Persons,35-39,357119
2023,Persons,40-44,347120
2023,Persons,45-49,319461
2023,Persons,5-9,280698
2023,Persons,50-54,376965
2023,Persons,55-59,406756
2023,Persons,60-64,380831
2023,Persons,65-69,325320
2023,Persons,70-74,278328
2023,Persons,75-79,233824
2023,Persons,80+,278889
