year,e_inc_num,source
1990,8608045.649999999,WHO (1990-2014)
1991,8592688.620000001,WHO (1990-2014)
1992,8836142.909999998,WHO (1990-2014)
1993,8954619.36,WHO (1990-2014)
1994,9009533.569999998,WHO (1990-2014)
1995,9254858.020000001,WHO (1990-2014)
1996,9294299.809999999,WHO (1990-2014)
1997,9548695.029999997,WHO (1990-2014)
1998,9698214.31,WHO (1990-2014)
1999,9747912.520000001,WHO (1990-2014)
2000,9992911.93,WHO (1990-2014)
2001,9998818.13,WHO (1990-2014)
2002,10114955.18,WHO (1990-2014)
2003,10301159.230000002,WHO (1990-2014)
2004,10238455.330000002,WHO (1990-2014)
2005,10292621.610000001,WHO (1990-2014)
2006,10310443.25,WHO (1990-2014)
2007,10231823.530000003,WHO (1990-2014)
2008,10109553.91,WHO (1990-2014)
2009,10116490.729999997,WHO (1990-2014)
2010,9984311.129999999,WHO (1990-2014)
2011,9936735.399999999,WHO (1990-2014)
2012,9794608.409999996,WHO (1990-2014)
2013,9750098,WHO (1990-2014)
2014,9676577.83,WHO (1990-2014)
