iso3,g_whoregion,country,a,b
MNG,WPR,Mongolia,2.38355358187881,1.78640368511499
MNE,EUR,Montenegro,2.10632426193424,1.97787186014157
MAR,EMR,Morocco,2.35918495221822,1.88022148435514
MOZ,AFR,Mozambique,2.52781364249166,1.95659800954114
MMR,SEA,Myanmar,2.1844701561694,2.00814217771325
NAM,AFR,Namibia,2.33065454216779,2.02509193023572
NPL,SEA,Nepal,1.97045970129136,2.03066310850073
NLD,EUR,Netherlands,1.99441104712268,1.98252546134222
NZL,WPR,New Zealand,2.39357499690148,2.03155835246649
NIC,AMR,Nicaragua,2.2431176164569,1.98102246963721
NER,AFR,Niger,2.63884217806322,1.83045340020061
NGA,AFR,Nigeria,2.6624588159712,1.91642727702553
NOR,EUR,Norway,2.09462990219244,1.88605572543427
OMN,EMR,Oman,2.60288014861842,1.8279764078934
PAK,EMR,Pakistan,2.31725661645409,1.98157869051869
PAN,AMR,Panama,2.22830473364022,1.99789190173638
PNG,WPR,Papua New Guinea,2.40566890416584,2.0061518259105
PRY,AMR,Paraguay,2.38374948902878,2.03141836060793
PER,AMR,Peru,2.26615148859769,2.0335898335148
PHL,WPR,Philippines,2.26635557480043,2.00873276116293
POL,EUR,Poland,2.23719460129518,1.89267977409564
PRT,EUR,Portugal,1.94815621675056,1.99122554271537
QAT,EMR,Qatar,2.43311589551254,1.91875939074966
KOR,WPR,Republic of Korea,2.03947159548955,1.96721739904113
MDA,EUR,Republic of Moldova,2.25947941449639,1.85176354649411
ROU,EUR,Romania,2.10105486057039,1.90971140142628
RUS,EUR,Russian Federation,2.18712028185573,1.80369946421205
RWA,AFR,Rwanda,2.49821644937539,1.92939148235852
LCA,AMR,Saint Lucia,2.10315104556885,2.06052795094734
VCT,AMR,Saint Vincent and the Grenadines,1.96837603220942,2.08094734512887
WSM,WPR,Samoa,2.34410854220374,2.01222203619068
STP,AFR,Sao Tome and Principe,2.49574701672145,1.93621837855588
SAU,EMR,Saudi Arabia,2.27194510605259,1.93415638191325
SEN,AFR,Senegal,2.51523212626079,1.8971581783197
SRB,EUR,Serbia,1.93192083131865,1.98331043286088
SYC,AFR,Seychelles,2.55670530265758,1.91757753668008
SLE,AFR,Sierra Leone,2.44306294270187,1.9527629968698
SGP,WPR,Singapore,2.17114432951546,2.05360089209978
SVK,EUR,Slovakia,2.22515243642567,1.91155294236588
SVN,EUR,Slovenia,2.25791316853584,1.90980893639076
SOM,EMR,Somalia,2.72400197875708,1.94164126989965
ZAF,AFR,South Africa,2.37643248356897,2.02282884541711
SSD,AFR,South Sudan,2.5574796790681,1.97272129401106
ESP,EUR,Spain,2.23870843020791,1.93804678816926
LKA,SEA,Sri Lanka,2.31155151920741,1.9709956215223
SDN,EMR,Sudan,2.38958411942917,1.93716368824438
SUR,AMR,Suriname,2.16240261698013,2.05389642394678
SWZ,AFR,Swaziland,2.4371370755352,1.992453597235
SWE,EUR,Sweden,2.45753452740928,2.02542820243258
CHE,EUR,Switzerland,2.15693899879608,1.94346149294563
SYR,EMR,Syrian Arab Republic,2.21797115507447,2.00186230826049
MKD,EUR,The Former Yugoslav Republic of Macedonia,2.11440915538611,2.01978786853362
THA,SEA,Thailand,1.90747294065395,1.99761185696077
TLS,SEA,Timor-Leste,2.45850733362175,1.99348078685022
TGO,AFR,Togo,2.56590389024208,1.93862678299461
TON,WPR,Tonga,2.28328153595333,2.048110046831
TTO,AMR,Trinidad and Tobago,2.30109910758385,1.9953084151593
TUN,EMR,Tunisia,2.29993287173025,1.91161219513075
TUR,EUR,Turkey,2.10861272676815,1.962836104539
TKM,EUR,Turkmenistan,2.16273207903022,1.91173871062306
UGA,AFR,Uganda,2.59568977401912,1.91276576690718
UKR,EUR,Ukraine,2.37758062349893,1.8531160672824
ARE,EMR,United Arab Emirates,2.94121165718739,1.72376755341909
GBR,EUR,United Kingdom of Great Britain and Northern Ireland,2.20770421327215,1.89611247833263
TZA,AFR,United Republic of Tanzania,2.58473839426932,1.90758655584266
USA,AMR,United States of America,2.14597502711166,1.9741060846317
URY,AMR,Uruguay,2.25485226868236,2.06053517733316
UZB,EUR,Uzbekistan,2.20832865266453,1.88151694438674
VUT,WPR,Vanuatu,2.39081715122663,1.99840961514789
VEN,AMR,Venezuela (Bolivarian Republic of),2.26281533904853,2.00259582921603
VNM,WPR,Viet Nam,2.24504557358868,1.9822858446888
YEM,EMR,Yemen,2.38403654018781,2.00445223333987
ZMB,AFR,Zambia,2.62263648862363,1.91719744102083
ZWE,AFR,Zimbabwe,2.46216202590173,1.97318616223108
